Running on local URL:  http://0.0.0.0:7860

To create a public link, set `share=True` in `launch()`.
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: MLP, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: RMSNorm, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
LayerName: Attention, Distribute Utilization: 0.0012969970703125
